depth,GR,RT,DEN,DT,NEUT,ka_insitu
8100.15,53.57,196.18,2.06,144.78,0.43,4410
8101,52.16,170.56,2.1,144.96,0.44,4734
8102,53.055,153.26,2.09,145.41,0.44,7155
8103.6,53.23,140.6034,2.06,145.16,0.45,5749
8104.9,51.805,89.04,2.1,145.65,0.45,6097
8106.2,49.81,36.46,2.07,145.27,0.4,4460
8106.95,49.9,18.66,2.07,145.1,0.45,5331
8107.95,49.94,6.21,2.12,146.68,0.43,7401
8109.55,54.645,6.0748,2.1044,152.38,0.45,5757
8110.3,56.83,7.783,2.0923,152.79,0.4484,5334
8111.05,51.76,9.99,2.09,152.38,0.43,8025
8112.3,47.88,65.27,2.02,150.86,0.4,4922
8113.3,49.445,245.55,2.03,149.55,0.4,5575
8115.9,46.865,140.68,2,147.96,0.41,6192
8116.85,48.185,135.95,2.01,147.09,0.39,5219
8118.2,48.32,137.07,2.04,148.13,0.38,6667
8119,46.84,142.74,2.04,149.92,0.36,8900
8120,49.055,159.1,2.02,150.51,0.37,6356
8121.3,49.1,179.79,2.03,149.09,0.35,5559
11188.5,127.9813,2.63,2.37,121.0629,0.43,6582
11190.2,113.595,2.81,2.37,120.9649,0.38,4096
11193.4,89.53,2.6,2.32,121.082,0.4,3518
11196,70.485,47.34,2.15,121.293,0.3,5953
11200.4,75.39,9.59,2.18,120.944,0.35,6798
11201.1,66.53186,15.62,2.2,120.882,0.28,7236
11201.9,57.89,25.34,2.07,120.622,0.19,1776
11202.7,38.77,115.62,2.04,121.147,0.18,4029
11206.5,37.025,93.1549,2.0684,121.147,0.1962,5237
11207,30.38,106.3073,2.0711,121.147,0.1945,5023
11207.7,30.19,138.89,2.07,121.147,0.18,5381
11208.65,30.345,158.96,2.07,121.147,0.17,7038
11210,31.605,167.41,2.07,121.147,0.18,5316
11211,31.805,163.04,2.07,121.147,0.19,5061
11212.4,32.75,151.36,2.07,121.147,0.17,7171
11214,33.88137,161.71,2.09,121.147,0.19,6046
11214.6,33.59027,161.99,2.06,121.147,0.2,5870
11217,30.48,198.73,2.06,121.147,0.2,6225
11218.25,37.34,227.68,2.05,121.147,0.2,5955
11219,37.625,239.91,2.06,121.147,0.2,4127
11220,35.745,254.34,2.05,121.147,0.2,4923
11221.25,39.1,261.12,2.02,121.147,0.21,3593
11222,35.63137,384.96,2.02,121.147,0.19,4931
11222.8,36.36024,311.36,2.06,121.147,0.18,5285
11223.8,35.51,423.27,2.08,121.147,0.18,3960
11225,30.885,406.4,2.08,121.147,0.18,4511
11226,33.20193,442.17,2.14,121.147,0.16,4698
11226.9,34.48053,456.0729,2.1929,121.162,0.15,5162
11227.2,35.94,500.8891,2.1974,121.121,0.149,3345
11229,35.155,406.04,2.17,121.147,0.16,5113
11230.1,38.45,452.37,2.12,121.147,0.19,6284
11586.5,82.56,10.095,2.4053,120.89,0.28,4310
11587.4,48.54,9.59,2.3364,120.629,0.2647,3696
11589.5,38.58,15.21,2.17,120.775,0.18,3570
11591.35,34.37,18.38,2.15,120.775,0.18,5345
11591.9,35.11,17.14,2.12,120.775,0.2,3010
12676.5,115.1539,12.96,2.11,121.195,0.25,1029
12679.55,115.6794,4.78,2.37,120.9969,0.28,1419
12685.5,37.89708,6.14,2.27,120.865,0.32,447
12688.3,83.61037,4.22,2.41,120.923,0.31,816
12689,115.14,2.99,2.45,120.9739,0.36,1339
12690,111.58,3.65,2.36,121.0299,0.28,2279
12690.9,110.79,9.45,2.32,121.0329,0.28,1917
12693.2,114.18,20.54,2.26,121.2749,0.29,8249
12698,113.71,61.26,2.21,121.462,0.17,4309
12699.1,110.63,46.93,2.21,121.462,0.16,3097
12700,116.34,49.59,2.22,121.5029,0.14,417
12702.2,113.13,65.86,2.25,121.4979,0.14,2275
12703,122.34,59.92,2.23,121.4979,0.15,4319
12704,124.74,62.55,2.17,121.502,0.18,6007
12704.8,119.71,74.37,2.13,121.502,0.22,5692
12707,120.49,38.36,2.18,121.55,0.27,8092
12708.2,123.35,22.83,2.21,121.239,0.25,10559
12709,125.73,21.3,2.18,121.243,0.22,7669
12710,126.46,85,2.15,121.502,0.19,10628
12712,124.21,53.72,2.16,121.502,0.16,5429
12713,122.69,62.04,2.16,121.502,0.16,4839
12713.8,125.82,64.37,2.18,121.55,0.15,2902
12716.8,118.59,96.88,2.23,121.4979,0.14,5935
12719,129.93,42.09,2.25,121.4979,0.13,6003
12719.9,129.51,135.15,2.28,121.4979,0.13,13108
12721,123.81,79.33,2.26,121.4979,0.15,8918
12723.9,113.12,6,2.15,121.159,0.19,80
12725.15,119.97,20.47,2.13,121.195,0.17,34
12729.3,36.03,279.08,2.27,121.219,0.13,117
12730,51.41,201.85,2.28,121.099,0.19,8460
12731,78.16,47.99,2.29,121.301,0.25,1927
12731.8,104.15,8.32,2.32,121.0329,0.28,2261
12734,101.46,16.92,2.23,121.2749,0.3,5514
12736,65.95,9.74,2.19,120.963,0.22,4061
12737,37.08,41.31,2.21,121.146,0.14,3810
12739.05,27.21,67.09,2.27,121.219,0.12,2021
12739.85,27.97,44.65,2.27,121.219,0.13,3036
12740.55,27.59,91.88,2.27,121.219,0.12,154
12741.8,27.84,148.7,2.26,121.219,0.12,1575
12742,30.09,142.6055,2.26,121.219,0.12,568
12743.85,34.62,42.441,2.27,121.219,0.12,1287
12744.3,44.99,43.1548,2.2812,121.177,0.126,2038
12744.8,60.69,92.21,2.29,121.044,0.13,3525
12746.9,101.47,21.66,2.24,121.2749,0.24,4434
12748.65,86.16,8.82,2.22,121.318,0.25,4191
12749.85,82.76,20.86,2.13,121.019,0.22,7771
