DEPTH,PHIE,SWE,VSH,PERM_TIM,GR,CALI,RHOB,ILD,NPHI
3014.472,0,1,1.0,0.0,86.70899963,13.20689964,2.390799999,5.077799797,38.39229965
3014.6244,0,1,1.0,0.0,82.06510162,13.18669987,2.384599924,5.619900227,38.96490097
3014.7768,0,1,0.857,0.0,77.56089783,13.1736002,2.360599995,6.29090023,37.53099823
3014.9292,0,1,0.62,0.0,71.19300079,13.12629986,2.361900091,9.721899986,34.1026001
3015.0816,0,1,0.119,0.0,45.40409851,12.82439995,2.354000092,11.8135004,18.02899933
3015.6912,0.096,1,0.004,0.321,30.83799934,12.2585001,2.051100016,47.62129974,15.11970043
3015.8436,0.094,1,0.0,0.303,28.87080002,12.20470047,2.046099901,58.5605011,14.55720043
3015.996,0.095,1,0.0,0.304,28.26720047,12.2045002,2.04399991,60.31219864,14.55830002
3016.1484,0.102,1,0.0,0.419,27.06349945,12.20419979,2.032099962,60.97510147,13.84780026
3016.3008,0.097,1,0.0,0.345,27.34560013,12.20400047,2.037899971,60.98239899,13.1807003
3016.9104,0.122,0.386,0.014,0.971,32.44649887,12.14299965,2.025899887,59.08309937,14.63189983
3017.0628,0.112,0.316,0.017,0.659,33.04349899,12.20289993,2.039400101,57.6590004,15.25969982
3017.2152,0.117,0.224,0.025,0.797,34.23789978,12.28250027,2.037800074,56.79219818,16.63369942
3017.3676,0.134,0.165,0.033,1.445,35.49850082,12.25739956,2.023000002,57.77310181,16.78359985
3017.52,0.146,0.125,0.041,2.128,36.63050079,12.20199966,2.013000011,61.31489945,16.72480011
3017.6724,0.146,0.105,0.048,2.131,37.52679825,12.20180035,2.015899897,63.33769989,16.22640038
3018.1296,0.123,0.085,0.06,0.992,39.01589966,12.21290016,2.046799898,62.88650131,18.83510017
3018.282,0.116,0.081,0.07,0.765,40.21220017,12.22029972,2.058599949,56.78490067,19.43180084
3018.4344,0.107,0.079,0.077,0.539,41.10850143,12.20059967,2.071500063,52.09019852,20.47389984
3018.5868,0.097,0.082,0.078,0.334,41.14250183,12.20030022,2.084000111,50.42359924,20.9477005
3018.7392,0.098,0.077,0.083,0.349,41.70119858,12.20009995,2.084700108,49.99750137,21.28630066
3018.8916,0.089,0.075,0.09,0.226,42.50699997,12.19979954,2.097599983,47.50680161,22.07250023
